month,category,emotion_raw,weight_sum,prop
6,Joy,amusement,0.23046057217288762,0.03565843326339201
6,Joy,approval,0.0808129779373606,0.012503935720655801
6,Joy,caring,0.08911799639463425,0.013788944881302027
6,Joy,desire,0.6603403367102146,0.10217236556213469
6,Joy,excitement,0.5530070978527267,0.08556503399709699
6,Sadness,disappointment,0.11831901967525482,0.018307126581786688
6,Sadness,remorse,0.08253218947599332,0.012769943868331487
7,Anger,anger,0.3515176234839411,0.06147537687367478
7,Anger,annoyance,0.15289042548586923,0.0267383365703418
7,Anger,disapproval,0.25285024642780946,0.044219871645955325
7,Cognitive,confusion,1.1610115296787775,0.20304421904737063
7,Cognitive,curiosity,0.6346886927294513,0.11099792436092608
7,Cognitive,realization,0.6020741239610248,0.10529410534115792
7,Cognitive,surprise,0.19220736938027236,0.03361430460709083
7,Fear,embarrassment,0.13512028846889734,0.0236305951735151
7,Fear,fear,0.05106932080040375,0.008931289736688965
7,Fear,nervousness,0.307438968144583,0.05376665398742196
7,Joy,amusement,0.15309513670702776,0.02677413761879639
7,Joy,approval,0.13401255384087563,0.02343686831834715
7,Joy,caring,0.15567020350135863,0.027224479766900973
7,Joy,desire,0.4094167659059167,0.07160110418650786
7,Joy,excitement,0.7097143038005428,0.12411882473018965
7,Sadness,disappointment,0.17771019610914995,0.031078957498140176
7,Sadness,remorse,0.13753532618284225,0.024052950536974375
8,Anger,anger,0.09379865096083707,0.017591400561555694
8,Anger,annoyance,0.12554439281423888,0.02354513289508467
8,Anger,disapproval,0.2672183634713292,0.05011527587097382
8,Cognitive,confusion,0.8966726931610277,0.1681658356109026
8,Cognitive,curiosity,0.6212217754497508,0.11650659127347268
8,Cognitive,realization,0.6882601130864627,0.1290792481109425
8,Cognitive,surprise,0.0813717044889927,0.015260797819363814
8,Fear,embarrassment,0.09932208526879548,0.01862728907798333
8,Fear,nervousness,0.17979986853897573,0.03372043708501488
8,Joy,amusement,0.14685682966373861,0.02754215854227596
8,Joy,approval,0.1516968740948609,0.028449881195548962
8,Joy,caring,0.3873721798105786,0.07264943697640203
8,Joy,desire,0.3652871951424316,0.06850752440395577
8,Joy,excitement,0.644153403690259,0.12080728700603593
8,Joy,optimism,0.08086682576686144,0.015166110702384642
8,Joy,relief,0.09221707271145922,0.017294784605790335
8,Sadness,disappointment,0.19809955762078363,0.037152439118012325
8,Sadness,remorse,0.13497998099774122,0.02531472349761022
8,Sadness,sadness,0.07733451301464811,0.014503645646689758
9,Anger,anger,0.20639060288002448,0.0347780523922536
9,Anger,annoyance,0.2698540354613215,0.04547202078279906
9,Cognitive,confusion,1.444683947253698,0.2434378954600149
9,Cognitive,curiosity,0.8771145094462238,0.1477990467485521
